"","title","author","journal","number","cites","year","cid","pubid"
"1","Estimating the reproducibility of psychological science","Open Science Collaboration","Science","349 (6251), aac4716",2849,2015,"10200793109432081889","aDl3D7KC1E4C"
"2","Calculating and reporting effect sizes to facilitate cumulative science: a practical primer for t-tests and ANOVAs","D Lakens","Frontiers in Psychology","4, 863",1724,2013,"12279835622344579352","3fE2CSJIrl8C"
"3","Weight as an embodiment of importance","NB Jostmann, D Lakens, TW Schubert","Psychological Science","20 (9), 1169-1174",440,2009,"2070818317424912391","u5HHmVD_uO8C"
"4","An open, large-scale, collaborative effort to estimate the reproducibility of psychological science","Open Science Collaboration","Perspectives on Psychological Science","7, 657-660",358,2012,"17825104332595370377","roLk4NBRz8UC"
"5","Registered Reports","BA Nosek, D Lakens","Social Psychology","45 (3), 137-141",259,2014,"17713588210730923383","lbI08cpqPnQC"
"6","Equivalence Tests: A Practical Primer for t Tests, Correlations, and Meta-Analyses","D Lakens","Social Psychological and Personality Science","8 (4), 355-362",189,2017,"12695008052016109424","M_lZXyI38BkC"
"7","Rewarding Replications A Sure and Simple Way to Improve Psychological Science","SL Koole, D Lakens","Perspectives on Psychological Science","7 (6), 608-614",185,2012,"6987985215383683821","LkGwnXOMwfcC"
"8","If they move in sync, they must feel in sync: Movement synchrony leads to attributions of rapport and entitativity","D Lakens, M Stel","Social Cognition","29 (1), 1-14",152,2011,"8952703483447739070","9yKSN-GCB0IC"
"9","Sailing From the Seas of Chaos Into the Corridor of Stability Practical Recommendations to Increase the Informational Value of Studies","D Lakens, ERK Evers","Perspectives on Psychological Science","9 (3), 278-292",119,2014,"3044776845169347957","I858iXPj1OkC"
"10","Polarity correspondence in metaphor congruency effects: Structural overlap predicts categorization times for bipolar concepts presented in vertical space","D Lakens","Journal of Experimental Psychology-Learning Memory and Cognition","38 (3), 726",115,2012,"10316745317350561945","YsMSGLbcyi4C"
"11","Movement synchrony and perceived entitativity","D Lakens","Journal of Experimental Social Psychology","46 (5), 701-708",113,2010,"4459005409005580530","u-x6o8ySG0sC"
"12","Performing high-powered studies efficiently with sequential analyses","D Lakens","European Journal of Social Psychology","44 (7), 701-710",92,2014,"4110667532988080237","Y9VhQm-5nPIC"
"13","Weighty Matters Importance Literally Feels Heavy","IK Schneider, BT Rutjens, NB Jostmann, D Lakens","Social Psychological and Personality Science","2 (5), 474-478",84,2011,"557959849368322522","2osOgNQ5qMEC"
"14","The Peer Reviewers' Openness Initiative: incentivizing open research practices through peer review","RD Morey, CD Chambers, PJ Etchells, CR Harris, R Hoekstra, D Lakens, ...","Royal Society Open Science","3 (1), 150547",78,2016,"10707859748605654338","KI9T_ytC6pkC"
"15","Why Psychologists Should by Default Use Welch’s t-test Instead of Student’s t-test","M Delacre, D Lakens, C Leys","International Review of Social Psychology","30 (1)",77,2017,"17438360743876463689","uUvzmPk0f8oC"
"16","Justify your alpha","D Lakens, FG Adolfi, CJ Albers, F Anvari, MAJ Apps, SE Argamon, ...","Nature Human Behaviour","2 (3), 168",60,2018,"2081733851456637479","idthP5jqfYAC"
"17","But for the bad, there would not be good: Grounding valence in brightness through shared relational structures.","D Lakens, GR Semin, F Foroni","Journal of Experimental Psychology: General","",56,2012,"6256978290903991757","_FxGoFyzp5QC"
"18","Why Your Highness Needs the People","D Lakens, GR Semin, F Foroni","Social Psychology","42 (3), 205-213",55,2011,"1796669395093939082","Y0pCki6q_DkC"
"19","Using a Smartphone to measure heart rate changes during relived happiness and anger","D Lakens","IEEE Transactions on Affective Computing","1",48,2013,"18389276203061025338","5nxA0vEk-isC"
"20","On the reproducibility of meta-analyses: six practical recommendations","D Lakens, J Hilgard, J Staaks","BMC psychology","4 (1), 24",45,2016,"4027764718104174679","60iIaj97TE0C"
"21","Can conceptual congruency effects between number, time, and space be accounted for by polarity correspondence?","J Santiago, D Lakens","Acta psychologica","156, 179-191",40,2015,"15154876889413042339","6ZzL7HXColQC"
