authors,pub.year,article.title,journal.name,DOI,article.PDF.URL,PDF.views,PDF.downloads,PDF.citations,article.HTML.URL,HTML.views,article.preprint.URL,preprint.views,preprint.downloads,metrics.date,prereg.type,prereg.URL,open.mat.URL,open.data.URL,open.code.URL,rs.type,disclosure.date,article.type,rep.num,original.study,target.effects,commentaries.URLs,abstract.text,keywords,author.contributions,competing.interests,funding.sources,peer.review.editor,peer.reviewers,peer.reviews.URL
"EP LeBel, W Vanpaemel, I Cheung, & L Campbell",in press,A brief guide to evaluate replications,Meta-Psychology,,,,,,,,https://osf.io/paxyn/,,211,"January 17, 2019",,,,,,,,conceptual,,,,,"The importance of replication is becoming increasingly appreciated, however, considerably less consensus exists about how to evaluate the design and results of replications. We make concrete recommendations on how to evaluate replications with more nuance than what is typically done currently in the literature. We highlight six study characteristics that are crucial for evaluating replications: replication method similarity, replication differences, investigator independence, method/data transparency, analytic result reproducibility, and auxiliary hypotheses’ plausibility evidence. We also recommend a more nuanced approach to statistically interpret replication results at the individual-study and meta-analytic levels, and propose clearer language to communicate replication results.",transparency;  reproducibility;  direct replication;  replicability;  evaluating replications,,None to declare.,"European Commission (Marie-Curie grant, Project ID: 793669: EP LeBel, W Vanpaemel)",R Carlsson,MB Nuijten; U Schimmack,https://osf.io/dsn72/
"EP LeBel, R McCarthy, B Earp, M Elson, & W Vanpaemel",2018,A unified framework to quantify the credibility of scientific findings,Advances in Methods and Practices in Psychological Science,10.1177/2515245918787489,"https://etiennelebel.com/documents/lebeletal(2018,ampss)a-unified-framework-to-quantify-the-credibility-of-scientific-findings.pdf",,1033,20,,,https://psyarxiv.com/uwmr8,,1486,"December 15, 2018",,,,,,,,conceptual,,,,,"Societies invest in scientific studies to better understand the world and attempt to harness such improved understanding to address pressing societal problems. Published research, however, can be useful for theory or application only if it is credible. In science, a credible finding is one that has repeatedly survived risky falsification attempts. However, state-of-the-art meta-analytic approaches cannot determine the credibility of an effect because they do not account for the extent to which each included study has survived such attempted falsification. To overcome this problem, we outline a unified framework for estimating the credibility of published research by examining four fundamental falsifiability-related dimensions: (a) transparency of the methods and data, (b) reproducibility of the results when the same data-processing and analytic decisions are reapplied, (c) robustness of the results to different data-processing and analytic decisions, and (d) replicability of the effect. This framework includes a standardized workflow in which the degree to which a finding has survived scrutiny is quantified along these four facets of credibility. The framework is demonstrated by applying it to published replications in the psychology literature. Finally, we outline a Web implementation of the framework and conclude by encouraging the community of researchers to contribute to the development and crowdsourcing of this platform.",research credibility; transparency; open science; analytic reproducibility; analytic robustness; replicability,"E. P. LeBel conceived the general idea, drafted and revised the manuscript, created the figures, and executed the analytic-reproducibility checks and meta-analyses for the application of the framework to the infidelity-distress effect. W. Vanpaemel provided substantial contributions to the conceptual development of the ideas presented. W. Vanpaemel, R. J. McCarthy, B. D. Earp, and M. Elson provided critical commentary and made substantial contributions to writing and revising the manuscript. All authors approved the final submitted version of the manuscript.",None to declare.,Ministry of Culture and Science (Germany: M Elson),S Vazire,"Anonymous reviewer 1, Anonymous reviewer 2",
"EP LeBel, D Berger, L Campbell, & TJ Loving",2017,Falsifiability is not optional,Journal of Personality and Social Psychology,10.1037/pspi0000106,"https://etiennelebel.com/documents/lbcl(2017,jpsp).pdf",,,23,,,https://psyarxiv.com/dv94b/,,1407,"December 17, 2018",,,,,https://osf.io/wp6an/,,,conceptual,,,,,"Finkel, Eastwick, and Reis (2016; FER2016) argued the post-2011 methodological reform movement has focused narrowly on replicability, neglecting other essential goals of research. We agree multiple scientific goals are essential, but argue, however, a more fine-grained language, conceptualization, and approach to replication is needed to accomplish these goals. Replication is the general empirical mechanism for testing and falsifying theory. Sufficiently methodologically similar replications, also known as direct replications, test the basic existence of phenomena and ensure cumulative progress is possible a priori. In contrast, increasingly methodologically dissimilar replications, also known as conceptual replications, test the relevance of auxiliary hypotheses (e.g., manipulation and measurement issues, contextual factors) required to productively investigate validity and generalizability. Without prioritizing replicability, a field is not empirically falsifiable. We also disagree with FER2016’s position that “bigger samples are generally better, but... that very large samples could have the downside of commandeering resources that would have been better invested in other studies” (abstract). We identify problematic assumptions involved in FER2016’s modifications of our original research-economic model, and present an improved model that quantifies when (and whether) it is reasonable to worry that increasing statistical power will engender potential trade-offs. Sufficiently powering studies (i.e., 80%) maximizes both research efficiency and confidence in the literature (research quality). Given that we are in agreement with FER2016 on all key open science points, we are eager to start seeing the accelerated rate of cumulative knowledge development of social psychological phenomena such a sufficiently transparent, powered, and falsifiable approach will generate.",direct replication; falsification; power; replicability; transparency,,None to declare.,None to declare.,K Kawakami,"R Giner-Sorolla, Anonymous reviewer 2, Anonymous reviewer 3, Anonymous reviewer 4",
"EP LeBel, L Campbell, & TJ Loving",2017,Benefits of open and high-powered research outweigh costs,Journal of Personality and Social Psychology,10.1037/pspi0000049,"https://etiennelebel.com/documents/lcl(2017,jpsp).pdf",,,15,,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2616384,3557,496,"December 17, 2018",,,,,https://osf.io/hpwqd/,,,conceptual,,,,,"Several researchers recently outlined unacknowledged costs of open science practices, arguing these costs may outweigh benefits and stifle discovery of novel findings. We scrutinize these researchers’ (a) statistical concern that heightened stringency with respect to false-positives will increase false-negatives and (b) metascientific concern that larger samples and executing direct replications engender opportunity costs that will decrease the rate of making novel discoveries. We argue their statistical concern is unwarranted given open science proponents recommend such practices to reduce the inflated Type I error rate from .35 down to .05 and simultaneously call for high-powered research to reduce the inflated Type II error rate. Regarding their metaconcern, we demonstrate that incurring some costs is required to increase the rate (and frequency) of making true discoveries because distinguishing true from false hypotheses requires a low Type I error rate, high statistical power, and independent direct replications. We also examine pragmatic concerns raised regarding adopting open science practices for relationship science (preregistration, open materials, open data, direct replications, sample size); while acknowledging these concerns, we argue they are overstated given available solutions. We conclude benefits of open science practices outweigh costs for both individual researchers and the collective field in the long run, but that short term costs may exist for researchers because of the currently dysfunctional academic incentive structure. Our analysis implies our field’s incentive structure needs to change whereby better alignment exists between researcher’s career interests and the field’s cumulative progress. We delineate recent proposals aimed at such incentive structure realignment.",open science practices; independent replication; cumulative knowledge; analytic and design flexibility,,None to declare.,None to declare.,RC Fraley,"Anonymous reviewer 1, M Kraus",
"M Heino, EI Fried, & EP LeBel",2017,Complex phenomena require sophisticated designs: Why we shouldn't give up on replicability,Frontiers in Psychology,10.3389/fpsyg.2017.01004,"https://etiennelebel.com/documents/hf&l(2017,fip).pdf",,,3,http://journal.frontiersin.org/article/10.3389/fpsyg.2017.01004/full,4862,https://osf.io/6b95w/,,268,"December 14, 2018",,,,,,,,commentary,,,,,,replicability crisis; replication; complexity; complex systems; falsification,"All authors listed, have made substantial, direct and intellectual contribution to the work, and approved it for publication.",None to declare.,"Academy of Finland (grant # 295765: M Heino), European Research Council (Consolidator grant # 647209: EI Fried)",MS Hagger,D Trafimow,
"I Cheung, L Campbell, EP LeBel, ... , & JC Yong",2016,"Registered Replication Report: Study 1 from Finkel, Rusbult, Kumashiro, & Hannon (2002) (RRR5)",Perspectives on Psychological Science,10.1177/1745691616664694,http://journals.sagepub.com/doi/pdf/10.1177/1745691616664694,,1033,24,http://journals.sagepub.com/doi/10.1177/1745691616664694,,,,,"December 15, 2018",preregplusrr,https://osf.io/2h6tf/,https://osf.io/knfy4/files/,https://osf.io/3nz7j/files/,https://osf.io/3nz7j/files/,basic4.at.subm,,replication,16,Finkel et al. (2002) Study 1,commitment on forgiveness effect,https://static1.squarespace.com/static/56c0eeaa7c65e465b5050feb/t/5804396dbe6594564b28c24b/1476671855511/2016_Finkel_PPS.pdf,"Finkel, Rusbult, Kumashiro, and Hannon (2002, Study 1) demonstrated a causal link between subjective commitment to a relationship and how people responded to hypothetical betrayals of that relationship. Participants primed to think about their commitment to their partner (high commitment) reacted to the betrayals with reduced exit and neglect responses relative to those primed to think about their independence from their partner (low commitment). The priming manipulation did not affect constructive voice and loyalty responses. Although other studies have demonstrated a correlation between subjective commitment and responses to betrayal, this study provides the only experimental evidence that inducing changes to subjective commitment can causally affect forgiveness responses. This Registered Replication Report (RRR) meta-analytically combines the results of 16 new direct replications of the original study, all of which followed a standardized, vetted, and preregistered protocol. The results showed little effect of the priming manipulation on the forgiveness outcome measures, but it also did not observe an effect of priming on subjective commitment, so the manipulation did not work as it had in the original study. We discuss possible explanations for the discrepancy between the findings from this RRR and the original study. ",commitment; rejection; relationships; analytic reproducibility; replication; preregistration,,None to declare.,None to declare.,DJ Simons,,
EP LeBel,2015,A new replication norm for psychology,Collabra: Psychology,10.1525/collabra.23,"https://etiennelebel.com/documents/l(2015,collabra).pdf",,346,10,http://collabra.org/articles/10.1525/collabra.23/,2051,,,,"December 14, 2018",,,,,,,,conceptual,,,,,"In recent years, there has been a growing concern regarding the replicability of findings in psychology, including a mounting number of prominent findings that have failed to replicate via high-powered independent replication attempts. In the face of this replicability “crisis of confidence”, several initiatives have been implemented to increase the reliability of empirical findings. In the current article, I propose a new replication norm that aims to further boost the dependability of findings in psychology. Paralleling the extant social norm that researchers should peer review about three times as many articles that they themselves publish per year, the new replication norm states that researchers should aim to independently replicate important findings in their own research areas in proportion to the number of original studies they themselves publish per year (e.g., a 4:1 original-to-replication studies ratio). I argue this simple approach could significantly advance our science by increasing the reliability and cumulative nature of our empirical knowledge base, accelerating our theoretical understanding of psychological phenomena, instilling a focus on quality rather than quantity, and by facilitating our transformation toward a research culture where executing and reporting independent direct replications is viewed as an ordinary part of the research process. To help promote the new norm, I delineate (1) how each of the major constituencies of the research process (i.e., funders, journals, professional societies, departments, and individual researchers) can incentivize replications and promote the new norm and (2) any obstacles each constituency faces in supporting the new norm.",independent replication; cumulative knowledge; replication norm,,None to declare.,None to declare.,S Vazire,"K Corker, Anonymous reviewer 2",http://s3-eu-west-1.amazonaws.com/ubiquity-partner-network/ucp/journal/collabra/collabra-pr-23-v2.pdf
"AA Aarts, ... , EP LeBel, ... , BA Nosek",2015,Estimating the [replicability] of psychological science (RPP),Science,10.1126/science.aac4716,"https://etiennelebel.com/documents/osc(2015,science).pdf",65411,,2676,,,https://osf.io/447b3/,,12390,"December 14, 2018",,,https://osf.io/ezcuj/wiki/Replicated%20Studies/,https://osf.io/ytpuq/wiki/home/,https://osf.io/ytpuq/wiki/home/,,,replication,100,,100 social/cognitive psychology effects,http://science.sciencemag.org/content/351/6277/1037.2,"[Replicability] is a defining feature of science, but the extent to which it characterizes current research is unknown. We conducted replications of 100 experimental and correlational studies published in three psychology journals using high-powered designs and original materials when available. Replication effects were half the magnitude of original effects, representing a substantial decline. Ninety-seven percent of original studies had statistically significant results. Thirty-six percent of replications had statistically significant results; 47% of original effect sizes were in the 95% confidence interval of the replication effect size; 39% of effects were subjectively rated to have replicated the original result; and if no bias in original results is assumed, combining original and replication results left 68% with statistically significant effects. Correlational tests suggest that replication success was better predicted by the strength of original evidence than by characteristics of the original and replication teams. ",,,None to declare.,None to declare.,Anonymous,Anonymous reviewer 1; Anonymous reviewer 2; Anonymous reviewer 3; Anonymous reviewer 4,
C Madurski & EP LeBel,2015,Replication difficulties of Correll's (2008) modulation of 1/f noise in a racial bias task,Psychonomic Bulletin & Review,10.3758/s13423-014-0757-4,"http://etiennelebel.com/documents/m&l(2015,pbr).pdf",,,5,,,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2435572,1004,73,"December 20, 2018",preregplus,https://osf.io/iwe3v/,https://osf.io/iraqy/files/,https://osf.io/iraqy/files/,https://osf.io/iraqy/files/,basic4.at.subm,,replication,2,Correll (2008) Study 2,modulation of 1/f noise racial bias emission,,"Correll (2008; Study 2, Journal of Personality and Social Psychology, 94, 48–59) found that instructions to use or avoid race information decreased the emission of 1/f noise in a weapon identification task (WIT). These results suggested that 1/f noise in racial bias tasks reflected an effortful deliberative process, providing new insights regarding the mechanisms underlying implicit racial biases. Given the potential theoretical and applied importance of understanding the psychological processes underlying implicit racial biases – and in light of the growing demand for independent direct replications of findings to ensure the cumulative nature of our science – we attempted to replicate Correll’s finding in two high-powered studies. Despite considerable effort to closely duplicate all procedural and methodological details of the original study (i.e., same cover story, experimental manipulation, implicit measure task, original stimuli, task instructions, sampling frame, population, and statistical analyses), both replication attempts were unsuccessful in replicating the original finding challenging the theoretical account that 1/f noise in racial bias tasks reflects a deliberative process. However, the emission of 1/f noise did consistently emerge across samples in each of our conditions. Hence, future research is needed to clarify the psychological significance of 1/f noise in racial bias tasks.",1/f noise; implicit racial bias;  weapon identification task;  independent direct replication,,None to declare.,"Social Science and Humanities Research Council (SSHRC grant # 756-2011-0090, Canada: EP LeBel)",SD Goldinger,Anonymous reviewer 1; Anonymous reviewer 2,
"L Campbell, TJ Loving, & EP LeBel",2014,Enhancing transparency of the research process to increase accuracy of findings: A guide for relationship researchers,Personal Relationships,10.1111/pere.12053,"https://etiennelebel.com/documents/cl&l(2014,pr).pdf",,,21,,,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2435185,1006,133,"December 20, 2018",,,,,,,,conceptual,,,,,"The purpose of this paper is to extend to the field of relationship science, recent discussions and suggested changes in open research practises. We demonstrate different ways that greater transparency of the research process in our field will accelerate scientific progress by increasing accuracy of reported research findings. Importantly, we make concrete recommendations for how relationship researchers can transition to greater disclosure of research practices in a manner that is sensitive to the unique design features of methodologies employed by relationship scientists. We discuss how to implement these recommendations for four different research designs regularly used in relationship research and practical limitations regarding implementing our recommendations and provide potential solutions to these problems.",,,None to declare.,None to declare.,J Fitness,"Anonymous reviewer 1, Anonymous reviewer 2",
