"","title","author","journal","number","cites","year","cid","pubid"
"1","Examining the effects of birth order on personality","JM Rohrer, B Egloff, SC Schmukle","Proceedings of the National Academy of Sciences","112 (46), 14224-14229",49,2015,"11044613435769371815","u5HHmVD_uO8C"
"2","Thinking clearly about correlations and causation: Graphical causal models for observational data","JM Rohrer","Advances in Methods and Practices in Psychological Science","1 (1), 27-42",13,2018,"8488014450007365702","Y0pCki6q_DkC"
"3",""" What else are you worried about?""–Integrating textual responses into quantitative social science research","JM Rohrer, M Brümmer, SC Schmukle, J Goebel, GG Wagner","PloS one","12 (7), e0182156",9,2017,"5023880759033171698","d1gkVwhDpl0C"
"4",""" What else are you worried about?""–Integrating textual responses into quantitative social science research","JM Rohrer, M Brümmer, SC Schmukle, J Goebel, GG Wagner","PloS one","12 (7), e0182156",9,2017,"5023880759033171698","u-x6o8ySG0sC"
"5","Probing birth-order effects on narrow traits using specification-curve analysis","JM Rohrer, B Egloff, SC Schmukle","Psychological science","28 (12), 1821-1832",5,2017,"16966215526604175669","Tyk-4Ss8FVUC"
"6","Recommendations for increasing the transparency of analysis of pre-existing datasets","SJ Weston, SJ Ritchie, JM Rohrer, AK Przybylski","PsyArXiv","",3,2018,"8307832436268551818","LkGwnXOMwfcC"
"7","In Your Eyes Only? Discrepancies and Agreement Between Self-and Other-Reports of Personality From Age 14 to 29.","JM Rohrer, B Egloff, M Kosinski, D Stillwell, SC Schmukle","American Psychological Association","",2,2017,"11126013128879491257","2osOgNQ5qMEC"
"8","SOEP scales manual (updated for SOEP-Core v32. 1)","D Richter, J Rohrer, M Metzing, W Nestler, M Weinhardt, J Schupp","SOEP Survey Papers","",2,2017,"11181932130773502562","_FxGoFyzp5QC"
"9","Test-Retest Reliabilities of Scales included in the Socio-Economic Panel Study","JM Rohrer","Open Science Framework","",1,2017,"8481795973288728582","9yKSN-GCB0IC"
"10","Dimensions of quality of life in Germany: Measured by plain text responses in a representative survey (SOEP)","GG Wagner, M Bruemmer, A Glemser, J Rohrer, J Schupp","","",1,2017,"16151545377039156304","qjMakFHDy7sC"
"11","Putting the Self in Self-correction","JM Rohrer, L DeBruine, T Heyman, BC Jones, S Schmukle, R Silberzahn, ...","PsyArXiv","",0,2018,NA,"UebtZRa9Y70C"
"12","Explanation, prediction, and causality: Three sides of the same coin?","DJ Watts, ED Beck, EJ Bienenstock, J Bowers, A Frank, A Grubesic, ...","OSF Preprints","",0,2018,NA,"Se3iqnhoufwC"
"13","Effects of Birth Order on Intelligence, Educational Attainment, Personality, and Risk Aversion in an Indonesian Sample","L Botzet, JM Rohrer, RC Arslan","PsyArXiv","",0,2018,NA,"roLk4NBRz8UC"
"14","Successfully Striving for Happiness: Socially Engaged Pursuits Predict Increases in Life Satisfaction","JM Rohrer, D Richter, M Brümmer, GG Wagner, SC Schmukle","Psychological science","0956797618761660",0,2018,NA,"WF5omc3nYNoC"
"15","Re-slicing the “Happiness Pie”: A Re-examination of the Determinants of Well-being","NJL Brown, JM Rohrer","PsyArXiv","",0,2018,NA,"ufrVoPGSRksC"
"16","Worries across time and age in the German Socio-Economic Panel study","JM Rohrer, M Brümmer, J Schupp, GG Wagner","Journal of Economic Behavior & Organization","",0,2018,NA,"YsMSGLbcyi4C"
"17","Only so Many Hours: Correlations between Personality and Daily Time Use in a Representative German Panel","JM Rohrer, RE Lucas","Collabra: Psychology","4 (1)",0,2018,NA,"W7OEmFMy1HYC"
"18","Individual Importance Weighting of Domain Satisfaction Ratings does Not Increase Validity","JM Rohrer, SC Schmukle","Collabra. Psychology","4 (1)",0,2018,NA,"eQOLeE2rZwMC"
"19","Worries across time and age in Germany: Bringing together open-and close-ended questions","JM Rohrer, M Bruemmer, J Schupp, GG Wagner","","",0,2017,NA,"IjCSPb-OGe4C"
