"","title","author","journal","number","cites","year","cid","pubid"
"1","Perceptions of conflict and support in romantic relationships: the role of attachment anxiety.","L Campbell, JA Simpson, J Boldry, DA Kashy","Journal of personality and social psychology","88 (3), 510",710,2005,"12994120231869148134","u-x6o8ySG0sC"
"2","Estimating actor, partner, and interaction effects for dyadic data using PROC MIXED and HLM: A user–friendly guide","L Campbell, DA Kashy","Personal Relationships","9 (3), 327-342",669,2002,"6768813513125511659","u5HHmVD_uO8C"
"3","Adult attachment, sexual satisfaction, and relationship satisfaction: A study of married couples","B Butzer, L Campbell","Personal Relationships","15 (1), 141-154",425,2008,"14445104887302260761","qjMakFHDy7sC"
"4","Adult attachment, the transition to parenthood, and depressive symptoms.","JA Simpson, WS Rholes, L Campbell, S Tran, CL Wilson","Journal of Personality and Social Psychology","84 (6), 1172",288,2003,"7575695521325789042","9yKSN-GCB0IC"
"5","Adult attachment and the transition to parenthood.","WS Rholes, JA Simpson, L Campbell, J Grich","Journal of Personality and Social Psychology","81 (3), 421",263,2001,"16233504405270961358","d1gkVwhDpl0C"
"6","Ideal standards, the self, and flexibility of ideals in close relationships","L Campbell, JA Simpson, DA Kashy, GJO Fletcher","Personality and Social Psychology Bulletin","27 (4), 447-462",205,2001,"9742429513906301263","2osOgNQ5qMEC"
"7","Links between attachment orientations and dispositional and diary–based measures of disclosure in dating couples: A study of actor and partner effects","SA Bradford, JA Feeney, L Campbell","Personal Relationships","9 (4), 491-506",152,2002,"12353347497458084485","IjCSPb-OGe4C"
"8","Attachment orientations, dependence, and behavior in a stressful situation: An application of the Actor-Partner Interdependence Model","L Campbell, JA Simpson, DA Kashy, WS Rholes","Journal of Social and Personal Relationships","18 (6), 821-843",152,2001,"7724415090321673064","UeHWp8X0CEIC"
"9","Trust, variability in relationship evaluations, and relationship processes.","L Campbell, JA Simpson, JG Boldry, H Rubin","Journal of personality and social psychology","99 (1), 14",126,2010,"11284093956990458429","UebtZRa9Y70C"
"10","Changes in attachment orientations across the transition to parenthood","JA Simpson, W Steven Rholes, L Campbell, CL Wilson","Journal of Experimental Social Psychology","39 (4), 317-331",122,2003,"8472319369115436755","Tyk-4Ss8FVUC"
