authors,pub.year,article.title,journal.name,DOI,article.PDF.URL,PDF.views,PDF.downloads,PDF.citations,article.HTML.URL,HTML.views,article.preprint.URL,preprint.views,preprint.downloads,metrics.date,prereg.type,prereg.URL,open.mat.URL,open.data.URL,open.code.URL,rs.type,disclosure.date,article.type,rep.num,original.study,target.effects,commentaries.URLs,abstract.text,keywords,author.contributions,competing.interests,funding.sources,peer.review.editor,peer.reviewers,peer.reviews.URL
"EP LeBel, W Vanpaemel, I Cheung, & L Campbell",in press,A brief guide to evaluate replications,Meta-Psychology,,,,,,,,https://osf.io/paxyn/,,211,"January 17, 2019",,,,,,,,conceptual,,,,,"The importance of replication is becoming increasingly appreciated, however, considerably less consensus exists about how to evaluate the design and results of replications. We make concrete recommendations on how to evaluate replications with more nuance than what is typically done currently in the literature. We highlight six study characteristics that are crucial for evaluating replications: replication method similarity, replication differences, investigator independence, method/data transparency, analytic result reproducibility, and auxiliary hypotheses’ plausibility evidence. We also recommend a more nuanced approach to statistically interpret replication results at the individual-study and meta-analytic levels, and propose clearer language to communicate replication results.",transparency;  reproducibility;  direct replication;  replicability;  evaluating replications,,None to declare.,"European Commission (Marie-Curie grant, Project ID: 793669: EP LeBel, W Vanpaemel)",R Carlsson,MB Nuijten; U Schimmack,https://osf.io/dsn72/
"L Campbell, RN Balzarini, T Kohut, K Dobson et al.",2018,"Self-esteem, relationship threat, and dependency regulation: Independent replication of Murray, Rose, Bellavia, Holmes, and Kusche (2002) Study 3",Journal of Research in Personality,10.1016/j.jrp.2017.04.001,https://static1.squarespace.com/static/594641bbe3df28301b1a0493/t/5970b5c8f5e2311272d3b4f0/1500558794416/2017+%28in+press%29_Campbell+et+al_JRP_Replication+of+Murray+et+al+2002.pdf,,,,,,https://psyarxiv.com/5suda/,,121,"January 17, 2019",preregplus,https://osf.io/ebuzm/,https://osf.io/xuqmg/,https://osf.io/wb6vc/,https://codeocean.com/2018/04/19/code-for-colon-self-esteem-relationship-threat-and-dependency-regulation-colon-independent-replication-of-murray-rose-bellavia-holmes-and-kusche-lpar-2002-rpar-study-3/code,basic4.retro,"May 2, 2018",replication,1,Murray et al. (2002) Study 3,self-esteem buffers relationship threat effect,,,,,None to declare.,None to declare.,,,
"H Moshontz, L Campbell, CR Ebersole, H IJzerman, HL Urry, ..., & PS Forscher",2018,The psychological science accelerator: Advancing psychology through a distributed collaborative network,Advances in Methods and Practices in Psychological Science,,,,,11,,,,,,"January 19, 2019",,,,,,,,conceptual,,,,,,,,None to declare.,,,,
"K Dobson, L Campbell, & SCE Stanton",2018,Are you coming on to me? Bias and accuracy in couples’ perceptions of sexual advances,Journal of Social and Personal Relationships,,,,,1,,,,,,"January 19, 2019",preregplus,https://osf.io/4xcpy/,https://osf.io/4xcpy/,https://osf.io/4xcpy/,https://osf.io/qbc2f/,,,original,,,,,,,,None to declare.,,,,
"RN Balzarini, L Campbell, T Kohut, BM Holmes, JJ Lehmiller, ..., & JJ Harman",2017,Perceptions of primary and secondary relationships in polyamory,PloS ONE,,,,,17,,,,,,"January 19, 2019",,,,,,,,original,,,,,,,,None to declare.,,,,
"A Buyukcan-Tetik, L Campbell, C Finkenauer, JC Karremans, & G Kappen",2017,"Ideal standards, acceptance, and relationship satisfaction: Latitudes of differential effects",Frontiers in Psychology,,,,,5,,,,,,"January 19, 2019",,,,,,,,original,,,,,,,,None to declare.,,,,
"RN Balzarini, K Dobson, K Chin, & L Campbell",2016,"Does exposure to erotica reduce attraction and love for romantic partners in men? Independent replications of Kenrick, Gutierres, and Goldberg (1989) Study 2",Journal of Experimental Social Psychology,10.1016/j.jesp.2016.11.003,https://www.researchgate.net/profile/Rhonda_Balzarini/publication/310488568_Does_exposure_to_erotica_reduce_attraction_and_love_for_romantic_partners_in_men_Independent_replications_of_Kenrick_Gutierres_and_Goldberg_1989_study_2/links/59cfdd434585150177ee21fd/Does-exposure-to-erotica-reduce-attraction-and-love-for-romantic-partners-in-men-Independent-replications-of-Kenrick-Gutierres-and-Goldberg-1989-study-2.pdf,,,14,,,,,,"January 17, 2019",preregplus,https://osf.io/6xqju/,https://osf.io/nrkej/,https://osf.io/b47jp/,https://osf.io/b47jp/,basic4.retro,"May 6, 2018",replication,3,Kenrick et al. (1989) Study 2,playboy effect,,,,,None to declare.,,,,
"S Connors, M Khamitov, S Moroz, L Campbell, & C Henderson",2016,"Time, money, and happiness: Does putting a price on time affect our ability to smell the roses?",Journal of Experimental Social Psychology,10.1016/j.jesp.2015.08.005,http://www.scottconnors.ca/uploads/4/7/4/6/47460837/connors_khamitov_moroz_campbell_and_henderson__2016__jesp.pdf,,,12,,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2654093,930,118,"January 17, 2019",preregplus,https://osf.io/tksjc/,https://osf.io/dzwny/,https://osf.io/hupve/,https://osf.io/3ya7i/,basic4.retro,"May 6, 2018",replication,2,,time is money effect,,,,,None to declare.,,,,
"I Cheung, L Campbell, EP LeBel, ... , & JC Yong",2016,"Registered Replication Report: Study 1 from Finkel, Rusbult, Kumashiro, & Hannon (2002) (RRR5)",Perspectives on Psychological Science,10.1177/1745691616664694,http://journals.sagepub.com/doi/pdf/10.1177/1745691616664694,,1033,24,http://journals.sagepub.com/doi/10.1177/1745691616664694,,,,,"December 15, 2018",preregplusrr,https://osf.io/2h6tf/,https://osf.io/knfy4/files/,https://osf.io/3nz7j/files/,https://osf.io/3nz7j/files/,basic4.at.subm,,replication,16,Finkel et al. (2002) Study 1,commitment on forgiveness effect,https://static1.squarespace.com/static/56c0eeaa7c65e465b5050feb/t/5804396dbe6594564b28c24b/1476671855511/2016_Finkel_PPS.pdf,"Finkel, Rusbult, Kumashiro, and Hannon (2002, Study 1) demonstrated a causal link between subjective commitment to a relationship and how people responded to hypothetical betrayals of that relationship. Participants primed to think about their commitment to their partner (high commitment) reacted to the betrayals with reduced exit and neglect responses relative to those primed to think about their independence from their partner (low commitment). The priming manipulation did not affect constructive voice and loyalty responses. Although other studies have demonstrated a correlation between subjective commitment and responses to betrayal, this study provides the only experimental evidence that inducing changes to subjective commitment can causally affect forgiveness responses. This Registered Replication Report (RRR) meta-analytically combines the results of 16 new direct replications of the original study, all of which followed a standardized, vetted, and preregistered protocol. The results showed little effect of the priming manipulation on the forgiveness outcome measures, but it also did not observe an effect of priming on subjective commitment, so the manipulation did not work as it had in the original study. We discuss possible explanations for the discrepancy between the findings from this RRR and the original study. ",commitment; rejection; relationships; analytic reproducibility; replication; preregistration,,None to declare.,,DJ Simons,,
"L Campbell, K Chin, & SCE Stanton",2016,Initial Evidence that Individuals Form New Relationships with Partners that More Closely Match their Ideal Preferences,Collabra,,,,,20,,,,,,"January 19, 2019",,,https://osf.io/me7jp/,https://osf.io/me7jp/,https://osf.io/2a34n/,,,original,,,,,,,,None to declare.,,,,
